Calendar Date,Week End Date,YYYY Mm,Queue,Vendor Location Detail,Agent Name,CSR Completed In Service Level,CSR Completed Out Of Service Level,CSR Complete Total,CSR Escalation,CSR Redirect Total,EPH Count,EPH Time,EPH,MSG Age
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arifha,26,6,32,0,0,32,8039,14,23870
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arunya,3,16,19,0,0,20,13545,5,39085
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ashishk1,0,18,18,0,1,20,20199,3,50943
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,azmathm,0,12,12,0,0,12,7162,6,31994
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,bhuvanes,6,9,15,0,0,17,8692,6,22072
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,christur,1,27,28,0,0,30,16083,6,66982
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,deenavb,4,3,7,0,0,6,5455,5,12756
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,eshanan,1,0,1,0,0,1,31,116,450
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,haritas,4,0,4,0,0,4,6735,2,2820
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,maryjert,0,10,10,0,0,11,15597,2,27542
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,raghavsa,1,7,8,0,0,8,5296,5,22121
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sanjanak,13,2,15,0,0,15,7033,8,8708
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,suganyab,0,1,1,0,0,1,7118,1,1852
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sunilrd,0,5,5,0,0,5,8715,2,12449
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,thahasee,0,3,3,0,0,4,6144,2,8965
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-phone-FL,SMB - Agents,amreenb,1,0,1,0,0,,,,2
2014-09-02,2014-09-06,2014-09,AP-EN-Wallet-Billing-T1,SMB - Agents,bhuvanes,1,0,1,0,0,1,845,4,551
2014-09-02,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,amreenb,7,0,7,0,0,7,9064,3,1008
2014-09-02,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,azmathm,30,0,30,0,0,30,16050,7,16630
2014-09-02,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,bhuvanes,1,0,1,0,0,3,621,6,99
2014-09-02,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,amreenb,19,0,19,0,2,19,10743,6,1038
2014-09-02,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,arunya,62,0,62,0,1,62,3308,67,37230
2014-09-02,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,lohitv,20,0,20,0,0,,,,1514
2014-09-02,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,shafath,41,1,42,0,1,,,,23946
2014-09-02,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,arifha,3,0,3,0,0,4,973,11,560
2014-09-02,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,dainva,5,0,5,0,0,6,31804,1,1357
2014-09-02,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,lohitv,1,0,1,0,0,1,737,5,12
2014-09-02,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,sanjanak,6,0,6,0,0,6,36,600,130
2014-09-02,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,sunilrd,5,0,5,0,1,5,4147,4,1156
2014-09-02,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-phone-FL,SMB - Agents,bhuvanes,1,0,1,0,1,,,,31
2014-09-02,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-phone-FL,SMB - Agents,thahasee,0,1,1,0,0,,,,4788
2014-09-02,2014-09-06,2014-09,SMB-SocialMedia-Tech-FL,SMB - Agents,sanjanak,6,0,6,0,0,6,4,"5,400",1316
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ancilava,21,0,21,0,0,21,5844,13,4259
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arifha,3,0,3,0,0,4,5918,2,2402
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arunya,30,0,30,0,0,30,17119,6,29458
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ashishk1,25,3,28,0,1,32,18340,5,17078
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,azmathm,0,5,5,0,0,5,7682,2,7730
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,bharath1,10,0,10,0,0,10,15575,2,9154
